evidence_id,question,claim_exact,label,city,source_name,url,pub_date,access_date,corroborated_by,notes
"S01","restaurant","Non-exclusive partnership with NRAI; restaurants 'will bear the delivery costs for orders within a four-kilometre radius'","MEDIA REPORT","Bengaluru","Business Standard","https://www.business-standard.com/industry/news/rapido-enters-food-aggregation-with-ownly-platform-partners-nrai-125060901165_1.html","2025-06-09","2026-09-14","S04","Search snippet only (HTTP 403). Early (pre-launch) terms; later superseded, see S13"
"S02","restaurant","'Rs 25 for orders worth Rs 400 and below, and Rs 50 for orders above Rs 400'; prices must match dine-in menus; no separate packaging fees","MEDIA REPORT","Bengaluru","Storyboard18 (Rapido debuts food delivery service Ownly)","https://www.storyboard18.com/brand-makers/rapido-debuts-food-delivery-service-ownly-in-bengaluru-78875.htm","2025-08-14","2026-09-14","S03; S08","Reports platform terms at pilot launch; likely same upstream as S03/S04 (Moneycontrol/Business Standard)"
"S03","restaurant","NRAI rate card: 'Rs 20 for orders up to Rs 100', 'Rs 25 plus GST for Rs 100 to 400', 'Rs 50 plus GST for above Rs 400'","MEDIA REPORT","Bengaluru","Entrackr","https://entrackr.com/news/rapido-food-delivery-app-ownly-goes-live-in-parts-of-bengaluru-9657255","2025-08-13","2026-09-14","S02; S04; S36","Same article also shows a 'Rapido: 8-15%' commission figure that conflicts with zero-commission; unexplained"
"S04","restaurant","'Restaurant partners will cover the delivery fees for orders within a 4km radius.'","MEDIA REPORT","Bengaluru","Verdict Foodservice","https://www.verdictfoodservice.com/news/rapido-food-delivery-service-india-ownly/","2025-08-14","2026-09-14","S01; S03","Cites Business Standard and Moneycontrol; NOT independent of S01"
"S05","restaurant","Partners must list 'at least four meal options under Rs 150' in a 'Meals for One' section; visibility by ratings, not paid promotion; restaurants get customer data","MEDIA REPORT","Bengaluru","Storyboard18 (Rapido debuts food delivery service Ownly)","https://www.storyboard18.com/brand-makers/rapido-debuts-food-delivery-service-ownly-in-bengaluru-78875.htm","2025-08-14","2026-09-14","S38","Describes platform rules at pilot; not seen on any Ownly-owned page"
"S06","restaurant","Ownly offers food 'at around 15% lower prices than those on Swiggy and Zomato'; charges 'a fixed fee per order' instead of commission","MEDIA REPORT","Bengaluru","TechCrunch","https://techcrunch.com/2025/08/13/indias-rapido-begins-testing-food-delivery-to-take-on-swiggy-zomato","2025-08-13","2026-09-14","S08; S23","15% figure repeated widely afterwards; no methodology given"
"S07","restaurant","Ownly 'has already onboarded popular food brands such as Eatfit, Wow! Momo, Faasos, and Krispy Kreme'","MEDIA REPORT","Bengaluru","Angel One / Pune Pulse (news aggregators)","https://www.angelone.in/news/startups/rapido-launches-new-food-delivery-app-ownly-in-bengaluru","2025-08 (day not captured)","2026-09-14","none independent","Search snippet only; upstream unknown. Shows chain/cloud-kitchen brands were present at pilot"
"S08","restaurant","Ownly 'charges a flat commission fee of INR 25 per order, plus GST, from the food outlets'","MEDIA REPORT","Bengaluru","Inc42","https://inc42.com/buzz/rapido-partners-magicpin-to-expand-ownly-in-bid-to-challenge-zomato-swiggy/","2025-11-24","2026-09-14","S02","Same article says Ownly 'doesn't charge any delivery fee' to customers (pilot period)"
"S09","restaurant","Spokesperson: 'Rapido primarily onboards restaurants directly through our merchant team, with only a very small share coming via partners like magicpin.'","COMPANY CLAIM","Bengaluru","Inc42","https://inc42.com/buzz/rapido-partners-magicpin-to-expand-ownly-in-bid-to-challenge-zomato-swiggy/","2025-11-24","2026-09-14","Business Standard 2025-11-23 (magicpin tie-up)","magicpin base cited as 80,000+ restaurants pan-India"
"S10","restaurant","Target: ~70,000 FSSAI-licensed Bengaluru restaurants not on Swiggy/Zomato, e.g. thaali joints, samosa stalls, family-run dhabas, tiffin centres; 15% of onboarded new to delivery","MEDIA REPORT","Bengaluru","Inc42 feature: Food Delivery Is Expensive, And Rapido Wants It Fixed","https://inc42.com/features/food-delivery-is-expensive-and-rapido-wants-it-fixed/","c. 2026-03 (exact date not captured)","2026-09-14","S14 (70,000 offline restaurants); S18","Article gives only 2,300 onboarded restaurants, which conflicts with ~20,000 at launch; date uncertain"
"S11","restaurant","Sanka: 'From a restaurant's point of view, the cost of doing online business should be zero.'","COMPANY CLAIM","Bengaluru","Inc42 feature","https://inc42.com/features/food-delivery-is-expensive-and-rapido-wants-it-fixed/","c. 2026-03","2026-09-14","S13","Quote taken from a model-generated extract; check wording against original"
"S12","restaurant","Claims 'close to 20,000 restaurant partners' at citywide launch","COMPANY CLAIM","Bengaluru","Storyboard18","https://www.storyboard18.com/brand-marketing/rapido-rolls-out-ownly-across-bengaluru-with-zero-commission-model-for-restaurants-91261.htm","2026-03-03","2026-09-14","S15; S23; S26","Counts differ across sources: 20k / 22k / 25k (S19, S24, S30)"
"S13","restaurant","'There are absolutely no charges to restaurants. There are no commissions, there are no marketing fees, there are no subscription fees'","COMPANY CLAIM","Bengaluru","Free Press Journal","https://www.freepressjournal.in/tech/rapido-officially-launches-zero-commission-food-delivery-app-ownly-will-rival-zomato-swiggy","2026-03-04","2026-09-14","S22; S26; S35","Contradicts earlier Rs 25/50 per-order fee (S02, S08) and later 'subscription fee' reports (S16, S19)"
"S14","restaurant","~5,000 daily orders (as of Mar 26); Bengaluru has 100,000+ FSSAI-licensed restaurants, under 30,000 on major platforms","MEDIA REPORT","Bengaluru","Upstox","https://upstox.com/news/upstox-originals/investing/rapido-s-ownly-has-early-momentum-but-can-it-scale/article-191695/","2026 (after 03-26; day not captured)","2026-09-14","S26 (5,000 in March)","Cites Inc42 for order volume"
"S15","restaurant","'Nearly 20,000 restaurants'; Sanka: Ownly created to solve challenges by 'making the business work better for restaurants'","COMPANY CLAIM","Bengaluru","BusinessToday","https://www.businesstoday.in/latest/trends/story/no-platform-fees-20000-restaurants-rapidos-ownly-food-delivery-goes-live-within-the-main-app-545689-2026-07-28","2026-07-28","2026-09-14","S12","Rapido-app integration press coverage"
