dimension,survey,interviews,price_audit,app_reviews,social,secondary_research,challenger_history,current_interpretation
Price advantage exists,SUPPORTS,SUPPORTS,SUPPORTS,MIXED,MIXED,MIXED,SUPPORTS,STRONG (structural view only)
Price advantage survives offers,NO EVIDENCE,CONTRADICTS,CONTRADICTS,NO EVIDENCE,CONTRADICTS,MIXED,CONTRADICTS,MODERATE — erosion observed
Assortment is the binding constraint,SUPPORTS,NO EVIDENCE,SUPPORTS,MIXED,MIXED,SUPPORTS,SUPPORTS,STRONG (survey + audit; interviews silent)
Speed deficit blocks adoption,CONTRADICTS,CONTRADICTS,SUPPORTS,MIXED,MIXED,NO EVIDENCE,SUPPORTS,CONTRADICTED by survey AND interviews
Reliability blocks TRIAL,CONTRADICTS,CONTRADICTS,NO EVIDENCE,MIXED,MIXED,NO EVIDENCE,MIXED,CONTRADICTED — accepted prospectively for ₹30
Bad orders drive CHURN,NO EVIDENCE,SUPPORTS,NO EVIDENCE,SUPPORTS,SUPPORTS,NO EVIDENCE,SUPPORTS,STRONG — interviews supply the mechanism
Support/refund is a risk,NO EVIDENCE,NO EVIDENCE,NO EVIDENCE,SUPPORTS,SUPPORTS,NO EVIDENCE,SUPPORTS,MODERATE (self-selected sources)
Rapido creates real discovery,CONTRADICTS,CONTRADICTS,NO EVIDENCE,NO EVIDENCE,MIXED,MIXED,CONTRADICTS,STRONG — trial runs on word of mouth instead
Membership lock-in is material,SUPPORTS,SUPPORTS,SUPPORTS,NO EVIDENCE,SUPPORTS,SUPPORTS,SUPPORTS,STRONG — interviews explain the mechanism
Price durability is doubted,SUPPORTS,SUPPORTS,NO EVIDENCE,NO EVIDENCE,SUPPORTS,SUPPORTS,SUPPORTS,STRONG (near-universal in survey)
Hygiene / food-quality trust,NO EVIDENCE,SUPPORTS,NO EVIDENCE,SUPPORTS,MIXED,NO EVIDENCE,NO EVIDENCE,DIRECTIONAL — survey is blind to this
Very low price signals low quality,NO EVIDENCE,SUPPORTS,NO EVIDENCE,NO EVIDENCE,MIXED,NO EVIDENCE,NO EVIDENCE,DIRECTIONAL — a cost of the price-led claim
Late-night availability gap,NO EVIDENCE,NO EVIDENCE,MIXED,NO EVIDENCE,SUPPORTS,NO EVIDENCE,NO EVIDENCE,"DIRECTIONAL — supply gap only, demand unvalidated"
Rider supply is sustainable,NO EVIDENCE,NO EVIDENCE,NO EVIDENCE,NO EVIDENCE,CONTRADICTS,NO EVIDENCE,CONTRADICTS,DIRECTIONAL — the single largest public-comment theme
Sustainable unit economics,NO EVIDENCE,NO EVIDENCE,NO EVIDENCE,NO EVIDENCE,CONTRADICTS,CONTRADICTS,CONTRADICTS,UNKNOWN for Ownly — not disclosed anywhere
