id,anomaly,what_we_found,how_it_was_handled,evidence_link,source
A1,Ownly recent-order count contradicts other answers,"1 catchment respondent(s) said they had ordered on Ownly AND that their first order was in the last 4 weeks, while entering 0 orders for that window.","Reported as UNAVAILABLE, not as zero. Excluded from volume-share numerator.",data/cleaned_survey.csv,SURVEY
A2,thu_lunch audit pass carries no information,"All 30 rows record restaurant_listed='y' with no restaurant_open, no timestamp, no prices.",Excluded from coverage (rule R4). Retained and flagged in audit_clean.csv.,data/audit_slot_quality.csv,AUDIT
A3,Audit workbook is case-inconsistent,"'Zomato'/'zomato', 'Y'/'y', 'Auto offer'/'auto offer' would fork platforms, listing states and price views if left as captured.",Lower-cased before grouping (rule R1).,scripts/01_consolidate_audit.py,AUDIT
A4,Duplicate restaurant name,"'Aanimuthyualu unlimited' vs 'Aanimuthyalu unlimited' — same restaurant, would double-count the coverage denominator.",Merged (rule R2).,data/audit_coverage.csv,AUDIT
A5,Incumbent list prices captured twice,"Every Zomato 'none' capture exists twice — once with delivery fee, once without (Gold). Not duplicates: member and non-member prices of the same basket.","Split into three price views; MAX = non-member, MIN = member.",data/audit_platform_prices.csv,AUDIT
A6,Two audit rows do not reconcile,Line items do not sum to final_payable (>₹1).,"Flagged, left as captured, immaterial to matched pairs.",data/audit_clean.csv,AUDIT
A7,"Age scope conflict: target says 18–35, instrument collected 20–35","The form routes out 'Under 20', so 18–19-year-olds answered nothing. A later '18–24' band also appears, overlapping two earlier bands.",Reported as '20–35 as collected'. 18–35 is not recoverable.,data/excluded_survey.csv,SURVEY
A8,Survey column order changed between exports,"The live sheet's column ORDER differs from the earlier CSV export, so positional mapping silently read the wrong questions.",Pipeline now maps by question text + city branch.,scripts/00_consolidate_survey.py,SURVEY
A9,Brand present but nearest outlet absent,"Bawarchi is on Ownly, but not the Gachibowli outlet (first-hand check, 2026-09-19).",Price capture retained. Generated H-OUTLET — see analysis.,06_competitor_audit/user_firsthand_check_2026-09-19.md,AUDIT x USER CHECK
A10,One implausible bill value,A respondent reported a ₹0 order total.,"Field voided, respondent retained, no imputation.",data/cleaned_survey.csv,SURVEY
