kpi_id,layer,name,priority,guardrail,north_star,definition,formula,source,evidence_level,denominator,decision,high_means,low_means,bias
K00,Layer 0 · Outcome,Repeat-active Ownly customers per 100 delivery users  project north-star proxy,P0,,Yes,"out of every 100 young people who order food online, how many used Ownly in the last 4 weeks *and* have ordered on it at least twice in 8 weeks.",`count(S4-Q3 ≥ 1 AND S4-Q3 + S12-Q4 ≥ 2) ÷ count(eligible AND S3-Q3 = Yes) × 100`,"survey v6: S3-Q3, S4-Q3, S12-Q4.",self-reported behaviour.,eligible respondents who ordered food online in the last 4 weeks.,"the overall transferability call, always read against guardrails G1–G4.",Ownly converts reach into habit in this segment.,either trial is low (check K01) or repeat is low (check K30). The two cases need different fixes.,"a convenience sample skewed towards food-app users inflates it; recall error on counts; Hyderabad is only ~1 month old, which caps it."
K01,Layer 0 · Outcome,Trial penetration,P0,,No,share of eligible respondents who have ever ordered on Ownly (course: brand penetration).,"`count(S8-Q1 = ""I've ordered on Ownly"") ÷ count(eligible)`",S8-Q1.,self-reported behaviour.,all eligible respondents.,whether to invest in acquisition or conversion.,the acquisition engine works.,"there is a reach or first-order barrier (check K10, K11).",the sample over-represents food-app-engaged people. Report Poll A's unscreened figure next to it; never merge the two.
K10,Layer 1 · Acquisition,Awareness,P0,,No,share who had heard of Ownly before taking the survey.,"`count(S8-Q1 ≠ ""I hadn't heard of Ownly"") ÷ count(eligible)`",S8-Q1.,self-reported.,eligible.,the reach vs conversion budget split.,reach is not the constraint.,GTM must buy reach before optimising the message.,people who open a food survey are more aware than the population. The gap to Poll A is itself a finding.
K11,Layer 1 · Acquisition,Awareness → trial conversion,P0,,No,"of those who know Ownly, share who have ordered.",`count(ordered) ÷ count(aware)`,S8-Q1.,self-reported.,aware respondents.,"fix the barriers first, or scale awareness.",the proposition converts once seen.,a barrier sits between awareness and trial (K16).,"in Hyderabad, recently aware people have had little time to try it."
K12,Layer 1 · Acquisition,Browse → order conversion,P1,,No,"of those who opened Ownly, share who ordered.",`count(ordered) ÷ count(opened OR ordered)`,S8-Q1.,self-reported.,respondents who opened or ordered.,whether to fix what users see inside the app first.,the in-app experience converts.,"in-app barriers (see K16, S11-Q2).",small base.
K13,Layer 1 · Acquisition,H₀ fake-door CTA conversion by arm,P0,,No,"share of unique visitors who tapped the call to action, for Variant A (Bengaluru-style total price) and Variant B (Hyderabad local + reliable).","`visitors with cta_click ÷ unique visitors`, per arm. Lift = `B − A` in pp, and `B/A − 1` relative.","fake-door events (`variant_id`, `event_name`), excluding `is_qa` and `is_bot_suspect`.","observed intent (a click, not an order).",unique eligible visitors per arm.,"reject or fail to reject H₀, and choose the lead proposition. Primary **only if ≥ 80 visitors and ≥ 30 per arm** (D3).",that proposition wins first-order intent.,"no winner, or the other arm wins.","- Channel mix may differ by arm, so run a sample-ratio check. - Every visitor sees the research disclosure only after the click. - Low traffic."
K14,Layer 1 · Acquisition,H₀ survey forced choice: Service Q share,P0,,No,share choosing Service Q (localized: regulars + reliability) among people who chose P or Q.,"`count(S7-Q3 = Q) ÷ count(S7-Q3 ∈ {P, Q})`. ""Can't choose"" is reported separately.",S7-Q3.,stated preference.,people who chose P or Q.,the H₀ call when the fake door is under-powered; the lead message for Hyderabad.,the localized proposition is preferred.,the Bengaluru-style price proposition is preferred.,"Forms cannot randomise section order, so P is always read first. The shuffled options mitigate order effects only partly."
K15,Layer 1 · Acquisition,"Stated trial intent, P vs Q (top-2 box)",P1,,No,share answering Probably or Definitely for trying each service.,`share(S7-Q1 ∈ top-2)` vs `share(S7-Q2 ∈ top-2)`,"S7-Q1, S7-Q2.",stated.,respondents answering both.,confidence in the direction of the H₀ result.,broad appeal.,weak pull.,intent overstates action.
K16,Layer 1 · Acquisition,First-order barrier incidence by stage,P1,,No,"main reason for not opening (S10-Q2), or for not ordering after opening (S11-Q2).",`share per option` within each stage.,"S10-Q2, S11-Q2.",stated.,respondents at that stage.,which acquisition barrier to attack.,,no single blocker.,only one main reason is captured.
K17,Layer 1 · Acquisition,Trial-trigger ranking among the unaware,P1,,No,the single thing that would most make a non-aware person try Ownly.,"`share per option, S9-Q1`",S9-Q1.,stated.,unaware respondents.,first-order message.,that lever should lead first-order messaging.,that lever is not what gets the first order.,stated; a description of Ownly is shown just before the question.
K20,Layer 2 · Value / affordability,Median matched-basket saving % vs the cheaper incumbent,P0,G1,No,"for the same restaurant, basket and time slot, how much less the Ownly final bill is than the cheaper of Swiggy and Zomato.","for each matched set, `(min(Swiggy, Zomato final_payable) − Ownly final_payable) ÷ min(Swiggy, Zomato)`; take the median across sets.","audit captures (`final_payable`, matched on slot + restaurant_name + basket_id).",observed.,matched sets where all three platforms list the restaurant.,KEEP/ADAPT/DROP price as the lead claim.,"affordability is a real, repeatable advantage.","the price claim is messaging, not reality.",- Single drop point. - Account state and coupons vary. - n ≤ 20 sets. - A negative value means Ownly is dearer.
K21,Layer 2 · Value / affordability,Ownly win rate,P1,,No,share of matched sets where Ownly is cheapest by more than ₹5.,`count(Ownly < cheaper incumbent − 5) ÷ matched sets`,audit.,observed.,matched sets.,whether the price claim can be repeated.,the advantage is consistent.,it is occasional.,small n.
K22,Layer 2 · Value / affordability,Fee load %,P1,,No,fees as a share of the final bill.,"`(packaging + platform + delivery + small_cart + surge) ÷ final_payable`, median per platform.",audit.,observed.,captures with a final payable.,"KEEP/ADAPT the ""no fees"" message.",,there is little fee gap to promise.,taxes excluded; discounts are shown separately.
K23,Layer 2 · Value / affordability,Switching-threshold coverage,P1,,No,share whose stated required saving is at or below the saving Ownly actually delivers.,"`count(S6-Q4 ₹ ≤ K20 median ₹) ÷ count(S6-Q4 numeric)`. ""No amount"" and ""don't know"" are shown separately.",S6-Q4 × audit.,stated × observed.,numeric answers.,whether price can lead.,the real saving is enough to switch most people.,the saving alone won't move people.,stated threshold.
