Metric ID,Metric Name,Value,Unit,Basis,Our Own Definition,Formula,Interpretation,Caveat
MM1,Switch-Threshold Coverage,81.1,%,derived (combines K13 x K1/K2),Yes,respondent x basket pairs where observed Ownly saving >= that respondent's stated required recurring saving / all such pairs,Falls 81% -> 56% -> 27% across the three price views. This is the study's central number: it answers 'is the saving big enough for these people' rather than 'is Ownly cheaper'.,Cross-product of a stated threshold and an observed price; n=4 baskets. Not a conversion rate.
MM2,Offer Reversal Rate,50.0,%,custom,Yes,baskets Ownly wins on list+fees but loses after incumbent coupons / matched baskets,Measures how much of the structural advantage a coupon can erase on any given day.,n=4. Ownly held a new-account intro offer; incumbents held memberships.
MM3,Membership Erosion Rate,25.0,%,custom,Yes,"baskets Ownly wins on list+fees but loses once the incumbent MEMBERSHIP benefit alone applies, before any coupon / matched baskets","Isolates the DURABLE half of the erosion. A membership is a standing benefit applying to every order; a coupon is episodic. Ownly can out-wait a coupon, not a subscription — and 82% of this catchment holds one.",n=4 baskets.
MM4,Sample Volume Share (Unit Market Share),0.0,%,Sheet 1 — Unit Market Share / Volume Share,No,"Ownly orders in last 4 weeks / all delivery orders in last 4 weeks, WITHIN THE SAMPLE. Respondents whose Ownly count contradicts their own other answers are excluded from the numerator, not counted as zero — so the catchment figure is a LOWER BOUND.","In this catchment sample Swiggy takes 54.6% and Zomato 36.8% of reported orders. Ownly's usable count is 0 orders, with 1 response unusable, so its share is a lower bound rather than a measured zero. Bengaluru — live far longer — shows 2.05%, which is what early traction looks like when it exists.","THIS IS NOT MARKET SHARE. It is share of orders inside a small convenience sample. The formula-sheet Volume Share needs total market unit sales, which this study does not have. Ownly has been live in Hyderabad for weeks, so a low share here is expected and is NOT evidence of rejection."
MM5,Penetration Share,5.6,%,Sheet 1 — Penetration Share,No,Brand Penetration (%) / Market Penetration (%) = Ownly triers / category orderers,"Of the people in this sample who order food delivery at all, 5.6% have ever tried Ownly. The formula-sheet version uses total population as the denominator; here the denominator is the sample, so it is a within-sample penetration share.","Sample, not population. 'Ever tried' not 'active user'. Very low base."
MM6,Unit Share of Requirements,18.8,%,Sheet 1 — Unit Share of Requirements,No,Ownly orders / total category orders BY OWNLY USERS,"Among people who actually use Ownly, what share of their delivery ordering it captures. This is the closest available proxy for the frequency half of the North Star.",n=2 users across all cities. Directional only; cannot be reported by city.
MM7,Assortment Barrier Rate,65.0,%,custom,Yes,respondents paying the ₹30 premium to keep most usual restaurants / respondents shown the item,[95% CI 50-78%] The highest refusal of the three ₹30 trades — the one thing money could not buy in this sample.,"Constructed choice, not observed behaviour."
MM8,Rapido Discovery Gap,84.8,%,custom,Yes,Rapido users who have NOT noticed food in the app / Rapido users,[95% CI 69-93%] Distribution exists; discovery largely does not.,'Not sure' counted as not-noticed.
MM9,Trial-to-Repeat Intent Gap,52.5,pp,custom,Yes,(% top-2 likely to TRY) - (% top-2 likely to CONTINUE after the intro offer ends),Trial intent 78% vs post-offer continuation 25%. The size of the drop is the rented-demand risk expressed in this sample's own words.,"STATED INTENT PROXY. The two items use different framings, so part of the gap is framing."
MM10,Fee Load Advantage,18.2,pp,custom,Yes,median incumbent non-food share of bill - median Ownly non-food share,"Expresses Ownly's structural edge as the share of the bill that is not food. It survives without subsidy, unlike a discount — and it is invisible to the customer unless stated, which ties the metric to the communication problem.",Median across priced captures; excludes menu-price differences.
