KPI ID,KPI Name,Layer,Driver,Family,Status,Value,Unit,CI Low,CI High,Numerator,Denominator,Base,Is Headline,Evidence Type,Evidence Strength,Not Computable,Limitation
NS,D30 Retained Order Rate,NORTH STAR,RETENTION,North Star — D30 Retained Order Rate,NOT COMPUTABLE,,orders/user/30d,,,,,Would be: Ownly first-time users in Gachibowli,Yes,COMPANY DATA REQUIRED,N/A,Yes,Requires per-user transaction history. No survey question can substitute — stated intent is not behaviour.
K1a,Price Win Rate — LIST+FEES,INPUT,PRICE,2 · Recurring Price-Advantage Coverage,COMPUTED,100.0,%,,,4.0,4.0,4 matched restaurant x basket comparisons,Yes,PRIMARY OBSERVED DATA,DIRECTIONAL (n=4),No,"n=4 matched baskets, one slot, one address. Ownly on a new account with an intro offer; incumbents on subscribed accounts."
K1b,Price Win Rate — MEMBER,INPUT,PRICE,2 · Recurring Price-Advantage Coverage,COMPUTED,75.0,%,,,3.0,4.0,4 matched restaurant x basket comparisons,No,PRIMARY OBSERVED DATA,DIRECTIONAL (n=4),No,"n=4 matched baskets, one slot, one address. Ownly on a new account with an intro offer; incumbents on subscribed accounts."
K1c,Price Win Rate — AFTER OFFER,INPUT,PRICE,2 · Recurring Price-Advantage Coverage,COMPUTED,50.0,%,,,2.0,4.0,4 matched restaurant x basket comparisons,No,PRIMARY OBSERVED DATA,DIRECTIONAL (n=4),No,"n=4 matched baskets, one slot, one address. Ownly on a new account with an intro offer; incumbents on subscribed accounts."
K2,Median Basket Saving (structural),INPUT,PRICE,2 · Recurring Price-Advantage Coverage,COMPUTED,114.5,INR,,,,4.0,4 matched baskets,No,PRIMARY OBSERVED DATA,DIRECTIONAL (n=4),No,Before any incumbent coupon or membership benefit.
K3,Fee Load — non-food share of bill,INPUT,PRICE,2 · Recurring Price-Advantage Coverage,COMPUTED,5.2,%,,,,8.0,Ownly priced captures,No,PRIMARY OBSERVED DATA,MODERATE,No,Median across priced captures; excludes menu-price differences.
K13,Required Recurring Saving to Switch (median),INPUT,LOCK-IN,3 · Required Recurring Saving to Switch,COMPUTED,30.0,INR,,,,33.0,"Catchment respondents naming a rupee figure (n=33); 4 said no amount, 3 don't know",Yes,SURVEY — STATED PREFERENCE,MODERATE,No,"Stated threshold, not observed switching. 'No amount' and 'don't know' are held out of the median and reported separately rather than coded as zero or infinity."
K4,Audit-frame Restaurant Coverage,INPUT,ASSORTMENT,4 · Preferred-Restaurant Coverage,COMPUTED,90.0,%,,,9.0,10.0,"10-restaurant audit frame, usable slots only",Yes,PRIMARY OBSERVED DATA,DIRECTIONAL (frame of 10),No,"This is AUDIT-FRAME coverage, NOT Gachibowli market coverage. The frame was built from Ownly's own showcase page plus incumbent chains, so it selects for restaurants present everywhere and cannot detect exclusives."
K5,Cross-platform Assortment Overlap,INPUT,ASSORTMENT,4 · Preferred-Restaurant Coverage,COMPUTED,88.9,%,,,8.0,9.0,Restaurants listed on Ownly,No,PRIMARY OBSERVED DATA,DIRECTIONAL,No,Frame of 10. 1 Ownly-only and 1 missing-from-Ownly observed.
K6,Preferred-Restaurant Coverage,INPUT,ASSORTMENT,4 · Preferred-Restaurant Coverage,NOT COMPUTABLE,,%,,,,,Would be: respondents' own most-ordered restaurants,No,INSTRUMENT GAP,N/A,Yes,The live instrument never asks respondents to name their usual restaurants.
K7,Quoted ETA Gap vs incumbents,INPUT,SERVICE,5 · Delivery Experience Parity,COMPUTED,17.0,min,,,,39.0,All captures showing an ETA,Yes,PRIMARY OBSERVED DATA,MODERATE,No,"QUOTED ETA, not delivery performance. No test orders were placed, so on-time rate is unknown."
K8,"Delivery Experience Parity (on-time, cancellation)",INPUT,SERVICE,5 · Delivery Experience Parity,NOT COMPUTABLE,,%,,,,,Would be: real Ownly orders,No,COMPANY DATA / FIELD WORK REQUIRED,N/A,Yes,The 3 budgeted test orders were never placed; template is empty.
K10,Rapido -> Ownly Trial Conversion,INPUT,DISTRIBUTION,6 · Rapido Discovery-to-Trial Conversion,NOT COMPUTABLE,,%,,,,,Would be: Rapido users exposed to the Ownly entry point,No,COMPANY DATA REQUIRED,N/A,Yes,No exposure or browse data exists outside Rapido.
K9,Rapido Food Discovery Rate,INPUT,DISTRIBUTION,6 · Rapido Discovery-to-Trial Conversion,COMPUTED,15.2,%,6.7,30.9,5.0,33.0,Catchment respondents who use Rapido,Yes,SURVEY — STATED BEHAVIOUR,MODERATE,No,"Self-reported noticing, subject to recall."
K18,Post-Promotion Repeat Intent,OUTPUT,RETENTION,7 · Post-Promotion Repeat Rate,COMPUTED (PROXY),25.0,%,14.2,40.2,10.0,40.0,Catchment respondents (n=40),Yes,SURVEY — STATED PREFERENCE,PROXY ONLY,No,"STATED INTENT, not retention. People overstate future good behaviour."
K19,Price-Durability Doubt,OUTPUT,RETENTION,7 · Post-Promotion Repeat Rate,COMPUTED,87.5,%,73.9,94.5,35.0,40.0,Catchment respondents (n=40),No,SURVEY — STATED PREFERENCE,STRONG,No,Attitudinal. Does not by itself predict behaviour.
K23,Contribution Margin per Repeat Order,GUARDRAIL,ECONOMICS,8 · Contribution Margin per Repeat Order,NOT COMPUTABLE,,INR,,,,,Would be: Ownly per-order P&L,Yes,COMPANY DATA REQUIRED,N/A,Yes,Ownly has never published per-order economics; no figure exists in any source.
K11,Incumbent Membership Lock-in,INPUT,LOCK-IN,Supporting measures — market conditions and funnel,COMPUTED,82.5,%,68.0,91.3,33.0,40.0,Catchment respondents (n=40),No,SURVEY — STATED BEHAVIOUR,MODERATE,No,"Membership held, not necessarily used."
K12,Multi-homing Rate,INPUT,LOCK-IN,Supporting measures — market conditions and funnel,COMPUTED,57.5,%,42.2,71.5,23.0,40.0,Catchment respondents (n=40),No,SURVEY — STATED BEHAVIOUR,MODERATE,No,Based on self-reported 4-week order counts.
K14,Ownly Awareness,OUTPUT,FUNNEL,Supporting measures — market conditions and funnel,COMPUTED,42.5,%,28.5,57.8,17.0,40.0,Catchment respondents (n=40),No,SURVEY — STATED BEHAVIOUR,MODERATE,No,Self-reported. Trial base is very small.
K15,Ownly Browse Rate,OUTPUT,FUNNEL,Supporting measures — market conditions and funnel,COMPUTED,17.5,%,8.7,32.0,7.0,40.0,Catchment respondents (n=40),No,SURVEY — STATED BEHAVIOUR,MODERATE,No,Self-reported. Trial base is very small.
K16,Ownly Trial Rate,OUTPUT,FUNNEL,Supporting measures — market conditions and funnel,COMPUTED,5.0,%,1.4,16.5,2.0,40.0,Catchment respondents (n=40),No,SURVEY — STATED BEHAVIOUR,DIRECTIONAL — LOW BASE,No,Self-reported. Trial base is very small.
K17,Ownly Recent Order Count,OUTPUT,FUNNEL,Supporting measures — market conditions and funnel,PARTIALLY UNAVAILABLE,,orders,,,,,Catchment respondents,No,SURVEY — STATED BEHAVIOUR,UNUSABLE,Yes,"1 respondents said they had ordered on Ownly AND that their first order was within the last 4 weeks, while entering 0 orders for that same window. Those fields contradict each other, so the count is reported as UNAVAILABLE rather than as zero adoption. The 4-week window also mostly predates Ownly's Hyderabad go-live (NRAI launch 22 Jul 2026; on-ground September 2026), so a zero here would measure the question window, not rejection."
K20,Will trade speed for ₹30,OUTPUT,TRADE-OFF,Supporting measures — market conditions and funnel,COMPUTED,92.5,%,80.1,97.4,37.0,40.0,Catchment respondents (n=40),No,SURVEY — STATED PREFERENCE,STRONG (paired design),No,Constructed choice at a single price point; not observed behaviour.
K21,Will trade reliability for ₹30,OUTPUT,TRADE-OFF,Supporting measures — market conditions and funnel,COMPUTED,72.5,%,57.2,83.9,29.0,40.0,Catchment respondents (n=40),No,SURVEY — STATED PREFERENCE,STRONG (paired design),No,Constructed choice at a single price point; not observed behaviour.
K22,Will trade usual restaurants for ₹30,OUTPUT,TRADE-OFF,Supporting measures — market conditions and funnel,COMPUTED,35.0,%,22.1,50.5,14.0,40.0,Catchment respondents (n=40),No,SURVEY — STATED PREFERENCE,STRONG (paired design),No,Constructed choice at a single price point; not observed behaviour.
