KPI ID,Name,Layer,Priority,Guardrail,North Star,Status,Value,Unit,N,CI Low,CI High,Pre-registered formula,Calculation applied,Source file,Source columns,Evidence label,Pre-registered source,Why not computable,Decision it serves
K10,Awareness,Layer 1 · Acquisition,P0,,No,COMPUTED,42.5,%,40,28.5,57.8,"`count(S8-Q1 ≠ ""I hadn't heard of Ownly"") ÷ count(eligible)`",count(ownly_aware = True) / catchment = 17/40; Wilson 95% CI,final_dashboard/data/cleaned_survey.csv,"ownly_aware, in_catchment",self-reported.,S8-Q1.,,the reach vs conversion budget split.
K01,Trial penetration,Layer 0 · Outcome,P0,,No,COMPUTED (LOW BASE),5.0,%,40,1.4,16.5,"`count(S8-Q1 = ""I've ordered on Ownly"") ÷ count(eligible)`",count(ownly_says_ordered = True) / catchment = 2/40,final_dashboard/data/cleaned_survey.csv,"ownly_says_ordered, in_catchment",self-reported behaviour.,S8-Q1.,Base is 2 respondents; interval spans 1.4–16.5%. Directional only.,whether to invest in acquisition or conversion.
K11,Awareness → trial conversion,Layer 1 · Acquisition,P0,,No,COMPUTED (LOW BASE),11.8,%,17,3.3,34.3,`count(ordered) ÷ count(aware)`,count(tried) / count(aware) = 2/17,final_dashboard/data/cleaned_survey.csv,"ownly_says_ordered, ownly_aware",self-reported.,S8-Q1.,Numerator is 2. Not interpretable as a conversion rate.,"fix the barriers first, or scale awareness."
K12,Browse → order conversion,Layer 1 · Acquisition,P1,,No,COMPUTED (LOW BASE),28.6,%,7,8.2,64.1,`count(ordered) ÷ count(opened OR ordered)`,count(tried) / count(opened) = 2/7,final_dashboard/data/cleaned_survey.csv,"ownly_says_ordered, ownly_opened",self-reported.,S8-Q1.,Numerator is 2.,whether to fix what users see inside the app first.
K00,Repeat-active Ownly customers per 100 delivery users  project north-star proxy,Layer 0 · Outcome,P0,,Yes,NOT COMPUTABLE,,per 100,,,,`count(S4-Q3 ≥ 1 AND S4-Q3 + S12-Q4 ≥ 2) ÷ count(eligible AND S3-Q3 = Yes) × 100`,—,—,—,self-reported behaviour.,"survey v6: S3-Q3, S4-Q3, S12-Q4.",North-star proxy needs repeat-active Ownly customers. Only 2 catchment respondents report any Ownly order and their order counts contradict their own other answers (see anomalies.csv). No survey question substitutes for observed repeat behaviour.,"the overall transferability call, always read against guardrails G1–G4."
K13,H₀ fake-door CTA conversion by arm,Layer 1 · Acquisition,P0,,No,NOT FIELDED,,%,0,,,"`visitors with cta_click ÷ unique visitors`, per arm. Lift = `B − A` in pp, and `B/A − 1` relative.",—,"07_fake_door/prototype/index.html (built, collector verified)",—,"observed intent (a click, not an order).","fake-door events (`variant_id`, `event_name`), excluding `is_qa` and `is_bot_suspect`.","Fake-door experiment was designed, built and powered but never given traffic. Event log has 0 rows. decision_rules §1 therefore makes K14 the primary H0 test.","reject or fail to reject H₀, and choose the lead proposition. Primary **only if ≥ 80 visitors and ≥ 30 per arm** (D3)."
K14,H₀ survey forced choice: Service Q share,Layer 1 · Acquisition,P0,,No,COMPUTED,37.9,%,29,22.7,56.0,"`count(S7-Q3 = Q) ÷ count(S7-Q3 ∈ {P, Q})`. ""Can't choose"" is reported separately.","count(prop_forced = Q) / count(prop_forced in P,Q) = 11/29. 'Can't choose' = 11 of 40 = 27.5%, reported separately per the pre-registered formula",final_dashboard/data/cleaned_survey.csv,prop_forced,stated preference.,S7-Q3.,,the H₀ call when the fake door is under-powered; the lead message for Hyderabad.
K20,Median matched-basket saving % vs the cheaper incumbent,Layer 2 · Value / affordability,P0,G1,No,COMPUTED (n=4),30.5,%,4,16.9,52.56,"for each matched set, `(min(Swiggy, Zomato final_payable) − Ownly final_payable) ÷ min(Swiggy, Zomato)`; take the median across sets.","(min(Swiggy,Zomato final_payable) − Ownly final_payable) / min(...) per matched set; median of [16.9, 27.5, 33.5, 52.6] = 30.5%. Median in rupees = ₹114.50. 95% CI by percentile bootstrap, 10,000 resamples, seed 20260921",final_dashboard/data/audit_pairs.csv,"view=LIST+FEES, saving_pct, saving_rs",observed.,"audit captures (`final_payable`, matched on slot + restaurant_name + basket_id).",,KEEP/ADAPT/DROP price as the lead claim.
K21,Ownly win rate,Layer 2 · Value / affordability,P1,,No,COMPUTED (n=4),100.0,%,4,51.0,100,`count(Ownly < cheaper incumbent − 5) ÷ matched sets`,count(Ownly cheapest by more than ₹5) / matched sets = 4/4,final_dashboard/data/audit_pairs.csv,"view=LIST+FEES, saving_rs",observed.,audit.,,whether the price claim can be repeated.
K22,Fee load %,Layer 2 · Value / affordability,P1,,No,COMPUTED,4.8,%,4,,,"`(packaging + platform + delivery + small_cart + surge) ÷ final_payable`, median per platform.","non-food charges / final_payable, median across zero-discount priced captures. Ownly = 4.8% (n=4); incumbent pooled median = 23.0% (swiggy n=7, zomato n=13). Fee-load gap = 18.3 pp",final_dashboard/data/audit_clean.csv,"platform, non_food_share, discount_amount=0, priced=True",observed.,audit.,,"KEEP/ADAPT the ""no fees"" message."
K23,Switching-threshold coverage,Layer 2 · Value / affordability,P1,,No,COMPUTED,100.0,%,33,89.6,100,"`count(S6-Q4 ₹ ≤ K20 median ₹) ÷ count(S6-Q4 numeric)`. ""No amount"" and ""don't know"" are shown separately.","count(stated required saving ≤ K20 median of ₹114.50) / count(numeric answers) = 33/33. Held out and reported separately per the pre-registered formula: 'no amount' = 4, ""don't know"" = 3",final_dashboard/data/cleaned_survey.csv,"switch_savings_rs, switch_never, switch_dk × audit_pairs.saving_rs",stated × observed.,S6-Q4 × audit.,,whether price can lead.
