KPI_ID,KPI_Name,KPI_Layer,Business_Question,Why_It_Matters,Exact_Formula,Numerator,Denominator,Unit,Primary_or_Guardrail,Actual_Company_Metric_or_Proxy,Data_Source,Source_File,Source_Field_or_Question,Geography,Segment,Can_Calculate_Now,Data_Gap,Collection_Action,Owner,Statistical_Test,Dashboard_Visual,Caveat,Decision_Enabled,Priority_P0_P1_P2
K00,Repeat-active Ownly customers per 100 delivery users,0 Outcome,Does Ownly earn durable adoption in the target segment?,Project north-star proxy: reach and second order in one number; resists promo-only trial,count(S4-Q3>=1 AND S4-Q3+S12-Q4>=2) / count(eligible AND S3-Q3=Yes) x 100,Respondents with >=1 Ownly order in last 4 wks and >=2 in last 8 wks,Eligible 20-30 respondents who ordered food online in last 4 wks,per 100,North-star proxy,Project proxy (not an Ownly metric),Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S3-Q3; S4-Q3; S12-Q4,HYD (BLR benchmark),All; student/professional; Rapido user,No - designed; 0 responses,Self-reported counts; Hyderabad only ~1 month old,Field survey; P1 hits >=80 HYD,P1 collect; Claude compute,Wilson 95% CI; HYD vs BLR Newcombe CI,Cockpit hero tile + city comparison,Not fulfilled orders; sample not population; recall error,Go/no-go on transferability of the whole playbook,P0
K01,Trial penetration (brand penetration),0 Outcome,How many target users have ever ordered on Ownly?,Top of the durable-adoption equation; course brand penetration,count(S8 status = ordered) / count(eligible),Ever ordered on Ownly,Eligible respondents,%,Primary,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S8-Q1,"HYD, BLR",All cuts,No - designed; 0 responses,Convenience sample skews to food-app users,Report Poll A unscreened awareness alongside,P1; Claude,Wilson CI; chi-square/Fisher across segments,KPI card; funnel,"Sample penetration, not market penetration",Size of acquisition problem vs retention problem,P0
K10,Ownly awareness,1 Acquisition,Do target users know Ownly exists?,Tests whether GTM spend should go to reach or to conversion,count(S8 status != hadn't heard) / count(eligible),Aware respondents,Eligible respondents,%,Primary,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S8-Q1,"HYD, BLR",City; Rapido user; student/pro,No - designed; 0 responses,Survey sample biased toward food-app engaged people,Poll A (disjoint groups) as unscreened cross-check,P1; P2 (poll),Wilson CI; two-proportion vs BLR,KPI card; funnel bar,"Hyderabad launch ~Sep 2026, so awareness is early-stage",Reach vs conversion investment,P0
K11,Awareness to trial conversion,1 Acquisition,"Once people know Ownly, do they order?",Separates awareness gap from proposition/barrier gap,count(status=ordered) / count(status!=unaware),Ever ordered,Aware respondents,%,Primary,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S8-Q1,"HYD, BLR",City; Rapido user; student/pro,No - designed; 0 responses,None beyond sample,-,Claude,Wilson CI; Newcombe CI HYD vs BLR,Funnel; KPI card,Hyderabad triers have had <4 weeks,Whether to fix barriers before scaling awareness,P0
K12,Browse to order conversion,1 Acquisition,Do people who open Ownly place an order?,"Isolates in-app barriers (assortment, price shown, ETA)",count(ordered) / count(opened OR ordered),Ordered,Opened or ordered,%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S8-Q1,"HYD, BLR",City,No - designed; 0 responses,-,-,Claude,Wilson CI,Funnel step,Small base,Which barrier to fix first,P1
K13,H0 fake-door CTA conversion by arm,1 Acquisition,Does the Bengaluru-style or Hyderabad-localized proposition convert better?,"The pre-registered primary H0 test (D1, D3)","unique visitors with cta_click / unique visitors, per variant; lift = B - A (pp) and (B/A - 1)",Unique non-QA non-bot visitors with >=1 cta_click,Unique non-QA non-bot visitors per arm,"%, pp",Primary (H0),Experiment metric (not Ownly metric),Fake-door events,07_fake_door events sheet export (apps_script_collector.gs),event_name=cta_click; variant_id,Gachibowli traffic,utm_source channel; mini-survey occupation,No - page not deployed,Page not deployed; D3 stopping rule date passed with no traffic,P3 decides tonight: deploy with endpoint or declare FD directional-only,P3 deploy; Claude analyse,Fisher exact if any expected cell <5 else two-proportion z; Newcombe CI on difference; practical floor 10pp,Cockpit H0 banner; A/B bars with CI,"Intent click, not a real order; channel mix may differ by arm (check SRM)",Reject/fail-to-reject H0; lead proposition for HYD,P0
K14,H0 survey forced choice: Service Q share,1 Acquisition,"If only one existed, which proposition would users start using?",Primary H0 instrument if fake door <80 visitors or <30 per arm (D3),"count(S7-Q3=Q) / count(S7-Q3 in {P,Q})",Chose Service Q,"Chose P or Q (can't-choose excluded, reported separately)",%,Primary (H0 fallback),Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S7-Q3,HYD (BLR benchmark),student/pro; member; Rapido user,No - designed; 0 responses,"Stated preference, not conversion",-,P1; Claude,Exact binomial vs 50%; Wilson CI; practical floor 10pp from 50%,Cockpit H0 banner; 100% stacked bars,Forms cannot randomise P/Q order: P always read first,Lead proposition for HYD GTM,P0
K15,Stated trial intent P vs Q (top-2 box),1 Acquisition,Is intent to try higher for P or Q?,Secondary H0 read; checks forced choice isn't driven by 'least bad',share Probably+Definitely on S7-Q1 vs S7-Q2,Top-2 on each,Respondents answering both,"%, pp",Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S7-Q1; S7-Q2,"HYD, BLR",student/pro,No - designed; 0 responses,-,-,Claude,McNemar exact on discordant pairs,Paired bars,Stated intent overstates action,Confidence in H0 direction,P1
K16,First-order barrier incidence by stage,1 Acquisition,What stops aware people from trying?,Directs fixes: trust vs price doubt vs coverage vs habit,"share of each option in S10-Q2 (never opened) and S11-Q2 (opened, didn't order)",Respondents choosing option,Respondents at that stage,%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S10-Q2; S11-Q2,"HYD, BLR",City; student/pro,No - designed; 0 responses,-,-,Claude,Wilson CI per option; chi-square by city,Ranked bars (Page 3/4),Single main reason only,Which acquisition barrier to attack,P1
K17,Trial-trigger ranking among unaware,1 Acquisition,What would most make a non-aware user try Ownly?,Tests price vs supply vs trust vs promo as first-order lever,share per option S9-Q1,Choosing option,Unaware respondents,%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S9-Q1,"HYD, BLR",student/pro,No - designed; 0 responses,-,-,Claude,Wilson CI,Ranked bars (Page 4 left),Stated,First-order message,P1
