metric_name,metric_id,kind,business_question,formula,numerator,denominator,data_source,population,sample_size,evidence_type,limitations,interpretation_rule
Ownly price win rate — LIST+FEES,K20a,KPI,Is Ownly actually cheaper at checkout?,numerator / denominator,4.0,4,06_competitor_audit/audit_data_slot1.csv,"Matched restaurant x basket comparisons, DP1 Gachibowli, wed_dinner 2026-09-16",4,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",Ownly cheapest in 4 of 4 matched baskets in the LIST+FEES view
Median saving vs cheapest incumbent — LIST+FEES,K21a,KPI,How large is the saving in rupees?,median of observed values,,4,audit_pairs.csv,Same matched baskets,4,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",Median 114 INR (30.5%)
Ownly price win rate — MEMBER,K20b,KPI,Is Ownly actually cheaper at checkout?,numerator / denominator,3.0,4,06_competitor_audit/audit_data_slot1.csv,"Matched restaurant x basket comparisons, DP1 Gachibowli, wed_dinner 2026-09-16",4,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",Ownly cheapest in 3 of 4 matched baskets in the MEMBER view
Median saving vs cheapest incumbent — MEMBER,K21b,KPI,How large is the saving in rupees?,median of observed values,,4,audit_pairs.csv,Same matched baskets,4,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",Median 78 INR (21.0%)
Ownly price win rate — AFTER OFFER,K20c,KPI,Is Ownly actually cheaper at checkout?,numerator / denominator,2.0,4,06_competitor_audit/audit_data_slot1.csv,"Matched restaurant x basket comparisons, DP1 Gachibowli, wed_dinner 2026-09-16",4,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",Ownly cheapest in 2 of 4 matched baskets in the AFTER OFFER view
Median saving vs cheapest incumbent — AFTER OFFER,K21c,KPI,How large is the saving in rupees?,median of observed values,,4,audit_pairs.csv,Same matched baskets,4,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",Median -28 INR (-13.9%)
Non-food share of bill — ownly,K22_ownly,KPI,How much of the bill is fees and tax rather than food?,median of observed values,,8,audit_clean.csv,8 priced captures,8,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",Ownly's structural advantage is the absence of fees
Non-food share of bill — swiggy,K22_swiggy,KPI,How much of the bill is fees and tax rather than food?,median of observed values,,15,audit_clean.csv,15 priced captures,15,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",Ownly's structural advantage is the absence of fees
Non-food share of bill — zomato,K22_zomato,KPI,How much of the bill is fees and tax rather than food?,median of observed values,,14,audit_clean.csv,14 priced captures,14,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",Ownly's structural advantage is the absence of fees
Quoted ETA midpoint — ownly,K30_ownly,KPI,How much slower is Ownly?,median of observed values,,8,audit_clean.csv,All captures with an ETA shown,8,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons","Quoted ETA, NOT observed delivery time - no test orders were placed"
Quoted ETA midpoint — swiggy,K30_swiggy,KPI,How much slower is Ownly?,median of observed values,,16,audit_clean.csv,All captures with an ETA shown,16,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons","Quoted ETA, NOT observed delivery time - no test orders were placed"
Quoted ETA midpoint — zomato,K30_zomato,KPI,How much slower is Ownly?,median of observed values,,15,audit_clean.csv,All captures with an ETA shown,15,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons","Quoted ETA, NOT observed delivery time - no test orders were placed"
Ownly quoted-ETA gap vs incumbent median,K31,KPI,What speed penalty accompanies the saving?,median of observed values,,39,audit_clean.csv,All captures with ETA,39,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",
Ownly coverage of audited restaurant frame,K40,KPI,Does Ownly have the restaurants people use?,numerator / denominator,11.0,12,audit_coverage.csv,12 audited restaurants at DP1,12,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",
Cross-platform assortment overlap,K42,KPI,"Is Ownly offering a differentiated catalogue, or the same one?",numerator / denominator,10.0,11,audit_coverage.csv,Restaurants on >=1 incumbent,11,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",High overlap = little differentiated supply (failure mechanism M3)
Ownly-only restaurants observed,K43,KPI,Does Ownly offer supply the incumbents lack?,numerator / denominator,1.0,12,audit_coverage.csv,12 audited restaurants,12,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",
Incumbent-only restaurants observed,K44,KPI,What supply gap does Ownly carry?,numerator / denominator,1.0,12,audit_coverage.csv,12 audited restaurants,12,PRIMARY OBSERVED DATA,"Single slot, single drop point, n=4 complete comparisons",
Incumbent membership lock-in,K50,KPI,How locked in are Gachibowli customers?,numerator / denominator,38.0,46,Ownly Survey.csv,Hyderabad eligible respondents (20-35),46,SURVEY — STATED BEHAVIOUR,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address","Members see the MEMBER or AFTER OFFER price view, not the list view"
Multi-homing rate (2+ platforms in 4 weeks),K51,KPI,Do users already use more than one app?,numerator / denominator,27.0,46,Ownly Survey.csv,Hyderabad respondents reporting order counts,46,SURVEY — STATED BEHAVIOUR,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Median required recurring saving to switch main app,K52,KPI,How much recurring saving is required to switch?,median of observed values,,35,Ownly Survey.csv,Hyderabad respondents giving a rupee threshold (excl. 'no amount' and 'don't know'),35,SURVEY — STATED PREFERENCE,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Share saying no price would make them switch,K53,KPI,,numerator / denominator,5.0,46,Ownly Survey.csv,Hyderabad eligible,46,SURVEY — STATED PREFERENCE,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Rapido users who noticed food inside the Rapido app,K60,KPI,"Does Rapido create real discovery, or only theoretical access?",numerator / denominator,6.0,39,Ownly Survey.csv,Hyderabad respondents who use Rapido,39,SURVEY — STATED BEHAVIOUR,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
"Recent Rapido usage (any, last 4 weeks)",K61,KPI,,numerator / denominator,29.0,43,Ownly Survey.csv,Hyderabad respondents answering the Rapido item,43,SURVEY — STATED BEHAVIOUR,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Ownly awareness,K70,KPI,Do they know it exists?,numerator / denominator,17.0,46,Ownly Survey.csv,Hyderabad eligible (20-35),46,SURVEY — STATED BEHAVIOUR,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Ownly opened / browsed,K71,KPI,Did awareness become a visit?,numerator / denominator,6.0,46,Ownly Survey.csv,Hyderabad eligible (20-35),46,SURVEY — STATED BEHAVIOUR,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Ownly trial (ever ordered),K72,KPI,Did a visit become an order?,numerator / denominator,2.0,46,Ownly Survey.csv,Hyderabad eligible (20-35),46,SURVEY — STATED BEHAVIOUR,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
