metric_id,metric_name,formula_sheet_reference,formula,status,value,unit,numerator,denominator,base,data_source,evidence_link,evidence_type,interpretation,caveat
MM1,Switch-Threshold Coverage,derived (combines K13 x K1/K2),respondent x basket pairs where observed Ownly saving >= that respondent's stated required recurring saving / all such pairs,COMPUTED,81.1,%,107.0,132.0,33 threshold-giving catchment respondents x 4 matched baskets,Survey x price audit,data/switch_threshold_coverage.csv,SURVEY — STATED PREFERENCE x PRIMARY OBSERVED DATA,Falls 81% -> 56% -> 27% across the three price views. This is the study's central number: it answers 'is the saving big enough for these people' rather than 'is Ownly cheaper'.,Cross-product of a stated threshold and an observed price; n=4 baskets. Not a conversion rate.
MM2,Offer Reversal Rate,custom,baskets Ownly wins on list+fees but loses after incumbent coupons / matched baskets,COMPUTED,50.0,%,2.0,4.0,4 matched baskets,Price audit,data/audit_pairs.csv,PRIMARY OBSERVED DATA,Measures how much of the structural advantage a coupon can erase on any given day.,n=4. Ownly held a new-account intro offer; incumbents held memberships.
MM3,Membership Erosion Rate,custom,"baskets Ownly wins on list+fees but loses once the incumbent MEMBERSHIP benefit alone applies, before any coupon / matched baskets",COMPUTED,25.0,%,1.0,4.0,4 matched baskets,Price audit,data/audit_pairs.csv,PRIMARY OBSERVED DATA,"Isolates the DURABLE half of the erosion. A membership is a standing benefit applying to every order; a coupon is episodic. Ownly can out-wait a coupon, not a subscription — and 82% of this catchment holds one.",n=4 baskets.
MM4,Sample Volume Share (Unit Market Share),Sheet 1 — Unit Market Share / Volume Share,"Ownly orders in last 4 weeks / all delivery orders in last 4 weeks, WITHIN THE SAMPLE. Respondents whose Ownly count contradicts their own other answers are excluded from the numerator, not counted as zero — so the catchment figure is a LOWER BOUND.",COMPUTED (SAMPLE ONLY — LOWER BOUND),0.0,%,0.0,326.0,"Self-reported 4-week order counts, catchment (n=40); 1 Ownly count excluded as unusable",Survey,data/sample_volume_share.csv,SURVEY — STATED BEHAVIOUR,"In this catchment sample Swiggy takes 54.6% and Zomato 36.8% of reported orders. Ownly's usable count is 0 orders, with 1 response unusable, so its share is a lower bound rather than a measured zero. Bengaluru — live far longer — shows 2.05%, which is what early traction looks like when it exists.","THIS IS NOT MARKET SHARE. It is share of orders inside a small convenience sample. The formula-sheet Volume Share needs total market unit sales, which this study does not have. Ownly has been live in Hyderabad for weeks, so a low share here is expected and is NOT evidence of rejection."
MM5,Penetration Share,Sheet 1 — Penetration Share,Brand Penetration (%) / Market Penetration (%) = Ownly triers / category orderers,COMPUTED (SAMPLE ONLY),5.6,%,2.0,36.0,Catchment (n=40),Survey,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,"Of the people in this sample who order food delivery at all, 5.6% have ever tried Ownly. The formula-sheet version uses total population as the denominator; here the denominator is the sample, so it is a within-sample penetration share.","Sample, not population. 'Ever tried' not 'active user'. Very low base."
MM6,Unit Share of Requirements,Sheet 1 — Unit Share of Requirements,Ownly orders / total category orders BY OWNLY USERS,COMPUTED (VERY LOW BASE),18.8,%,3.0,16.0,"Respondents with >0 Ownly orders in 4 weeks (n=2, all cities)",Survey,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,"Among people who actually use Ownly, what share of their delivery ordering it captures. This is the closest available proxy for the frequency half of the North Star.",n=2 users across all cities. Directional only; cannot be reported by city.
MM7,Assortment Barrier Rate,custom,respondents paying the ₹30 premium to keep most usual restaurants / respondents shown the item,COMPUTED,65.0,%,26.0,40.0,Catchment (n=40),Survey,data/cleaned_survey.csv,SURVEY — STATED PREFERENCE,[95% CI 50-78%] The highest refusal of the three ₹30 trades — the one thing money could not buy in this sample.,"Constructed choice, not observed behaviour."
MM8,Rapido Discovery Gap,custom,Rapido users who have NOT noticed food in the app / Rapido users,COMPUTED,84.8,%,28.0,33.0,Catchment Rapido users (n=33),Survey,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,[95% CI 69-93%] Distribution exists; discovery largely does not.,'Not sure' counted as not-noticed.
MM9,Trial-to-Repeat Intent Gap,custom,(% top-2 likely to TRY) - (% top-2 likely to CONTINUE after the intro offer ends),COMPUTED (PROXY),52.5,pp,,40.0,Catchment (n=40),Survey,data/cleaned_survey.csv,SURVEY — STATED PREFERENCE,Trial intent 78% vs post-offer continuation 25%. The size of the drop is the rented-demand risk expressed in this sample's own words.,"STATED INTENT PROXY. The two items use different framings, so part of the gap is framing."
MM10,Fee Load Advantage,custom,median incumbent non-food share of bill - median Ownly non-food share,COMPUTED,18.2,pp,,37.0,37 priced captures,Price audit,data/audit_clean.csv,PRIMARY OBSERVED DATA,"Expresses Ownly's structural edge as the share of the bill that is not food. It survives without subsidy, unlike a discount — and it is invisible to the customer unless stated, which ties the metric to the communication problem.",Median across priced captures; excludes menu-price differences.
