evidence_id,topic,claim_exact,evidence_type,source_name,url,pub_date,access_date,corroborated_by,verification_status,confidence,hypotheses_linked,notes
E01,Ownly history - pilot,"Rapido started testing food delivery in 'three primary localities in the southern city of Bengaluru, namely Byrasandra, Tavarekere, and Madiwala (BTM) Layout, Hosur Sarjapura Road (HSR) Layout, and Koramangala'",MEDIA REPORT,TechCrunch,https://techcrunch.com/2025/08/13/indias-rapido-begins-testing-food-delivery-to-take-on-swiggy-zomato,2025-08-13,2026-09-14,E09;E10,verified,H,H9,Pilot areas repeated consistently across later reports.
E02,Ownly entity,"Rapido created a wholly owned subsidiary 'Ctrlx Technologies to launch its food delivery service, named Ownly'",MEDIA REPORT,TechCrunch,https://techcrunch.com/2025/08/13/indias-rapido-begins-testing-food-delivery-to-take-on-swiggy-zomato,2025-08-13,2026-09-14,E27;E28,verified,H,H7,Seller name CTRLX TECHNOLOGIES PRIVATE LIMITED also appears on App Store listing and ownly.food footer.
E03,Customer pricing claim (pilot era),"Ownly offers food from nearby restaurants 'at around 15% lower prices than those on Swiggy and Zomato'",MEDIA REPORT,TechCrunch,https://techcrunch.com/2025/08/13/indias-rapido-begins-testing-food-delivery-to-take-on-swiggy-zomato,2025-08-13,2026-09-14,,unverified,L,H1;H2,Pilot-era positioning with no methodology. This is the origin of the '15% cheaper' figure repeated by later articles. Do NOT cite as a measured saving.
E04,Restaurant model (pilot era),"Rapido charges 'a fixed fee per order' instead of commissions; incumbents charge commissions of 'up to 30%'",MEDIA REPORT,TechCrunch,https://techcrunch.com/2025/08/13/indias-rapido-begins-testing-food-delivery-to-take-on-swiggy-zomato,2025-08-13,2026-09-14,E07;E08,partially,M,H2;H9,Later reporting (E31) says restaurants pay Rs 0 of any kind - model appears to have changed between pilot and citywide launch.
E05,Rapido data advantage,"'While handling deliveries for Swiggy, Rapido gained insight into peak hours and high-demand restaurants - the data it would now leverage for its own food delivery service'",MEDIA REPORT,TechCrunch,https://techcrunch.com/2025/08/13/indias-rapido-begins-testing-food-delivery-to-take-on-swiggy-zomato,2025-08-13,2026-09-14,,unverified,M,H9;H10,Journalist characterisation; no data shown.
E06,Restaurant/customer fee split (proposal),"Restaurants cover delivery charges within 'a four-kilometre radius'; 'orders valued at Rs 100 or less will carry a Rs 10 delivery charge for the restaurant, while customers will pay Rs 20'",MEDIA REPORT,Business Standard (search-index summary; page returned 403),https://www.business-standard.com/companies/news/rapido-launches-ownly-app-enters-food-delivery-with-zero-commission-model-125081301836_1.html,2025-08-13,2026-09-14,,unverified,L,H8,Could not open page (HTTP 403). Wording taken from search summary; appears superseded by zero-fee-to-restaurant model. Historical only.
E07,Restaurant fee proposal (pre-launch),"'fee structure is set at Rs 25 for orders worth Rs 400 and below, and Rs 50 for orders above Rs 400'",MEDIA REPORT,MediaNama (search-index summary),https://www.medianama.com/2025/06/223-rapido-food-delivery-no-commissions-customer-data-access/,2025-06,2026-09-14,E04,unverified,L,H8,Pre-launch proposal; not fetched; superseded.
E08,Restaurant commission expectation (pre-launch),"Rapido 'is expected to charge a commission rate of 8-15 per cent from restaurant partners based on average order value (AOV)' vs Zomato/Swiggy '21-22 per cent blended rates'",MEDIA REPORT,Business Standard (search-index summary),https://www.business-standard.com/markets/news/what-does-rapido-s-foray-into-food-delivery-mean-to-zomato-and-swiggy-125061000671_1.html,2025-06-10,2026-09-14,,contradicted,L,H9,Contradicted by later zero-commission model (E16;E18;E31). Analyst expectation only.
E09,Bengaluru citywide launch,"'Rapido formally launched its food delivery app Ownly citywide across Bengaluru on March 3, 2026'",MEDIA REPORT,Telangana Today,https://telanganatoday.com/rapido-launches-ownly-food-delivery-app-in-bengaluru-with-zero-commission-model,2026-03-05,2026-09-14,E10;E12,verified,H,H9,Minor date noise: Inc42 (E16) says 'mid-March'; one summary says March 4.
E10,Hyderabad expansion signal,"Expansion to 'Delhi NCR, Mumbai, Hyderabad, Pune, and Chennai'; 'The company is expected to announce the rollout by the end of the month, with launches to follow over the next two to three weeks.'",MEDIA REPORT,TelecomLive,https://telecomlive.in/web/2026/07/23/ownly-by-rapido-set-for-5-city-rollout-in-2-3-weeks/,2026-07-23,2026-09-14,E11,partially,M,H9,Based on 'sources aware of the development'; 'Rapido did not immediately respond'. Implies expected Hyderabad launch roughly mid-August 2026 - NOT confirmed.
E11,Hyderabad expansion signal,"Plans to launch services in 'Delhi NCR, Mumbai, Hyderabad, Kolkata, Pune, and Chennai by the next quarter'",MEDIA REPORT,Whalesbook,https://www.whalesbook.com/news/English/technology/Rapidos-Ownly-Plans-6-City-Food-Delivery-Expansion/6a6a16ee288da18bdd3c468e,2026-07-29,2026-09-14,E10,partially,M,H9,Adds Kolkata vs E10. Carried from 16_ file; still consistent.
E12,Order volume (early),"Ownly at '~5,000 daily orders' as of March 26, 2026; 'close to 20,000 restaurant partners'",MEDIA REPORT,Upstox (Upstox Originals),https://upstox.com/news/upstox-originals/investing/rapido-s-ownly-has-early-momentum-but-can-it-scale/article-191695/,not stated (content references 2026-03-26),2026-09-14,E19,partially,M,H12,Secondary article citing Inc42 and Hindustan Times.
E13,Customer delivery fee (Bengaluru),"Delivery fee 'around Rs 30, along with GST'",MEDIA REPORT,Upstox (Upstox Originals),https://upstox.com/news/upstox-originals/investing/rapido-s-ownly-has-early-momentum-but-can-it-scale/article-191695/,not stated (2026),2026-09-14,E19;E31,contradicted,M,H2;H8,"Contradicting evidence: App Store lists 'Free delivery' (E28); a March 2026 user bill showed no delivery fee (E29); a vendor blog calls the fee 'distance-based' (E31). Fee may vary by time/promo/distance. MUST be observed in audit."
E14,Bengaluru restaurant universe,"Bengaluru has 'over 1 lakh FSSAI-licensed restaurants' but 'fewer than 30,000 are listed on the big platforms'",MEDIA REPORT,Upstox (Upstox Originals),https://upstox.com/news/upstox-originals/investing/rapido-s-ownly-has-early-momentum-but-can-it-scale/article-191695/,not stated (2026),2026-09-14,,unverified,L,H5;H10,No primary FSSAI source given. Hyderabad equivalent figure UNKNOWN.
E15,Rapido distribution base,"Rapido monthly users (Jan-Feb 2026) '73.96 million', exceeding Uber (39.05M) and Ola (28.15M)",MEDIA REPORT,Upstox (Upstox Originals),https://upstox.com/news/upstox-originals/investing/rapido-s-ownly-has-early-momentum-but-can-it-scale/article-191695/,not stated (2026),2026-09-14,,unverified,M,H7,Likely app-intelligence estimate; national not city-level.
E16,Market share claim; next cities,"Ownly claims 'nearly 10% of the city's online food delivery market'; 'plans to enter more cities beginning next quarter'; incumbents charge '25-35%'",MEDIA REPORT,Inc42,https://inc42.com/buzz/bengaluru-restaurants-push-back-gives-rapidos-ownly-an-opening-against-swiggy-zomato/,2026-07-30,2026-09-14,E19,partially,M,H9;H12,Framed as Ownly claim. Article links Ownly's opening to Bengaluru restaurant pushback against incumbents.
E17,Restaurant supply partnership,"Ownly 'signed an MoU with the National Restaurant Association of India (NRAI)' (week of 2026-07-30)",MEDIA REPORT,Inc42,https://inc42.com/buzz/bengaluru-restaurants-push-back-gives-rapidos-ownly-an-opening-against-swiggy-zomato/,2026-07-30,2026-09-14,,partially,M,H9;H10,National body; whether it helps Hyderabad onboarding is UNKNOWN.
E18,Rapido app integration,"Ownly food delivery 'goes live within the main app' (announced Monday 28 July 2026); 'close to 20,000 restaurants'; 'Restaurants on the platform pay zero commission'",MEDIA REPORT,Business Today,https://www.businesstoday.in/latest/trends/story/no-platform-fees-20000-restaurants-rapidos-ownly-food-delivery-goes-live-within-the-main-app-545689-2026-07-28,2026-07-28,2026-09-14,E12;E16,verified,H,H7,Cities in which the in-app integration is live not specified.
E19,Order volume and share (Bengaluru),"Ownly 'crossed 50,000 orders a day in Bengaluru'; '10% of Bengaluru's food delivery market'; city 'estimated 500,000 to 600,000 orders placed in the city each day'; July: 'more than 40,000 a day', ~7%",MEDIA REPORT,Storyboard18 (citing Moneycontrol),https://www.storyboard18.com/brand-marketing/rapidos-ownly-crosses-50000-daily-food-orders-in-bengaluru-plans-multi-city-expansion-report-108355.htm,2026-08-21,2026-09-14,E21,partially,M,H9;H12,Single upstream report (Moneycontrol) syndicated - corroborating articles are NOT independent. Share is derived: 50k / 500-600k = 8.3-10%.
E20,Incumbent national volume,"'Zomato: 2.5+ million daily orders nationally'; 'Swiggy: 2-2.2 million daily orders nationally'",MEDIA REPORT,Storyboard18 (citing Moneycontrol),https://www.storyboard18.com/brand-marketing/rapidos-ownly-crosses-50000-daily-food-orders-in-bengaluru-plans-multi-city-expansion-report-108355.htm,2026-08-21,2026-09-14,,unverified,M,H9,Context only.
