Theme Family,Documents,Mean Sentiment,Sentiment Direction
Price — advantage,135,0.065,Positive
Other,91,-0.06,Neutral
Price — doubt,89,-0.011,Neutral
Competitive framing,73,-0.003,Neutral
Support & refunds,68,-0.272,Negative
Assortment & coverage,52,0.049,Neutral
Fulfilment failure,49,-0.331,Negative
Trust & credibility,39,-0.247,Negative
Buzz & advocacy,34,0.123,Positive
Rider economics,34,-0.159,Negative
Distribution & ecosystem,22,0.01,Neutral
Regulation & policy,21,-0.1,Negative
App & payments,18,-0.22,Negative
Speed & ETA,12,-0.299,Negative
