ref,theme,grade,finding,triangulation,status,documented_transcripts,total_interviews,evidence_type,prevalence_rule,verification
I-01.1,PRICE_TRANSPARENCY,documented transcript,Core pain is unexpected charges at checkout; wants to know what she is actually paying,CONVERGES with survey (89.1% expect prices to rise) and audit (5.2% vs 28.3% fee load),CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
I-01.2,TRUST_HYGIENE,documented transcript,"Ratings measure taste, not hygiene; cannot inspect a kitchen through an app",UNIQUE TO INTERVIEWS - no survey item measures this,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
I-01.4,SPEED_VS_PRICE_HUNGER,documented transcript,Speed preference flips with hunger: very hungry -> speed; otherwise -> price,CONVERGES with survey (84.8% took cheaper+slower),CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
I-01.5,CHECKOUT_TRANSPARENCY,documented transcript,"Chose Rs150 free-delivery app over Rs272 with extra charges, same item same restaurant",CONVERGES with audit (Ownly 4/4 on list+fees),CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
I-01.6,SELF_SEGMENTATION,documented transcript,Premium customers value time over money; students and middle-class prioritise price,"PARTIALLY SUPPORTED - survey cannot detect the split (Fisher p=0.637, n=11 professionals)",CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
I-01.7,GROUP_ORDERING,documented transcript,Students pool orders through whoever holds Zomato Gold / Swiggy One and compare totals,CONVERGES - supplies the mechanism behind the 50% coupon reversal in the audit,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
I-01.9,WORD_OF_MOUTH_AWARENESS,documented transcript,Heard about Ownly from her brother; had not used it; unavailable at her location,CONVERGES with 84.6% Rapido discovery gap - and reframes the lever,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
I-01.10,TOO_CHEAP_SIGNAL,documented transcript,"A very low price raises a food-quality doubt ('if biryani is Rs100, is it good?')",UNIQUE TO INTERVIEWS - a cost of the price-led claim the survey does not capture,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
T-1,TRADEOFF_HIERARCHY,team-reported,"General: hunger, time >> money. Students: hunger, money >> time",PARTIALLY SUPPORTED / UNDERPOWERED - threshold differs (Rs30 vs Rs50) but speed trade-off does not,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
T-2,PRICE_DURABILITY_DOUBT,team-reported,On Ownly's offers - 'what if they increase later',CONVERGES - 89.1% of survey agrees,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
T-3,PRICE_ANCHOR_PER_KM,team-reported,Rs10 per km is the reference for delivery pricing,NOT TESTABLE - no distance data captured in the audit,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
T-4,TRIAL_TRIGGER_WOM,team-reported,"Switching to a new app comes from a friend's recommendation, Instagram/YouTube reviews, ads",CONVERGES - reframes discovery away from in-app placement,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
T-5,CHURN_TRIGGER_BAD_ORDERS,team-reported,People leave an app after frequent bad orders,RESOLVES the survey-vs-reviews contradiction on reliability,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
T-6,TRUST_SOURCE,team-reported,Trust comes from influencers and word of mouth,CONVERGES with T-4 and I-01.9,CONDUCTED,1,UNKNOWN - team reported further interviews; count not recorded,"INTERVIEW (primary, qualitative)",NO percentages or interviewee counts reported - denominator unknown,"Gemini auto-notes; NOT human-verified verbatim; no double-coding, no Cohen's kappa"
