Metric,Sheet,Why not computable,Where it would come from
Value Share / Revenue Market Share,Sheet 1,"Needs total market revenue for Gachibowli food delivery. No such figure exists publicly, and a 40-person convenience sample cannot stand in for it.","Ownly / Rapido internal data, or a commissioned market study"
Relative Market Share,Sheet 1,Requires a credible market share for Ownly and for the largest competitor. See above.,"Ownly / Rapido internal data, or a commissioned market study"
Brand / Category Development Index,Sheet 1,Requires category and brand sales per household by group. Not available at any level.,"Ownly / Rapido internal data, or a commissioned market study"
"Contribution Margin, Break-even, Target Volume",Sheet 1,Requires Ownly's variable cost and fixed cost per order. Never published.,"Ownly / Rapido internal data, or a commissioned market study"
Retention Rate,Sheet 2,"Requires customers at start, customers at end and new customers over a period. The survey is a single cross-section.","Ownly / Rapido internal data, or a commissioned market study"
Customer Lifetime Value,Sheet 2,Requires margin and retention rate. Both unavailable.,"Ownly / Rapido internal data, or a commissioned market study"
Average Acquisition Cost (CAC),Sheet 2,Requires acquisition spending and number of new customers acquired. Circulating ₹400-600 figures trace only to low-quality blogs and are not used.,"Ownly / Rapido internal data, or a commissioned market study"
Average Retention Cost (CRC),Sheet 2,Requires retention spending and number retained.,"Ownly / Rapido internal data, or a commissioned market study"
EBITDA,course list,A company-level P&L measure. Ownly does not report separately from Rapido.,"Ownly / Rapido internal data, or a commissioned market study"
YoY Growth / CAGR,Sheet 2,Requires a prior-period value for the same metric and market. Ownly has been live in Hyderabad for weeks.,"Ownly / Rapido internal data, or a commissioned market study"
