form_family,expected_header,variable_name,kind,notes
both,Version code (pre-filled — please don't change),meta_form_version,prefill,
both,Session code (pre-filled — please don't change),meta_session_token,prefill,
both,Start code (pre-filled — please don't change),meta_start_ts,prefill,
both,Source code (pre-filled — please don't change),meta_source,prefill,
both,Campaign code (pre-filled — please don't change),meta_campaign,prefill,
both,Timestamp,meta_submit_ts,timestamp,Google Forms system column
both,"I have read the information above, I am 18 or older, and I agree to take part.",meta_consent,single,
both,How old are you?,scr_age_band,single,
hyd,"Which area do you live, study or work in on most days? If more than one, choose where you usually get food delivered.",scr_area,single,
blr,Which area of Bengaluru do you usually get food delivered to?,scr_area,single,
both,"In the last 4 weeks, about how many times did you order food for delivery through any app? Count each order once.",scr_orders_4wk,single,
both,"Do you work for a food-delivery, quick-commerce or restaurant-aggregator company, or in market research?",scr_coi,single,
both,Have you already filled in this survey before (any version)?,scr_repeat,single,
both,Which best describes you right now?,seg_occupation_raw,single,
hyd,Where do you study?,dem_institution,single,
blr,Where do you study?,dem_institution,single,
both,Which best describes where you work?,dem_work_sector,single,
both,Where do you currently live?,dem_living,single,
both,Roughly how much do you personally spend on food delivery in a typical month?,dem_delivery_spend_month,single,
hyd,What is your gender?,dem_gender,single,
both,"Which food-delivery apps can you think of, even ones you don't use? Type as many as come to mind.",beh_unaided_apps,text,
both,"When did you place your most recent food-delivery order? If you can, check your order history.",beh_last_order_when,single,
both,Which app or channel did you use for that order?,beh_last_platform,single,
both,Which meal was it?,beh_last_meal,single,
both,How many people was that order for?,beh_last_people,single,
both,What kind of food was it mainly?,beh_last_food,single,
both,Which best describes the restaurant?,beh_last_restaurant_type,single,
both,"What was the final amount you paid for that order, including all charges and after any discount? (₹, approximate is fine)",beh_last_order_total,number,
both,How sure are you about that amount?,beh_last_total_recall,single,
both,Did that order use a discount or membership benefit?,beh_last_discount,single,
both,Which charges do you remember seeing on that bill? Select all that apply.,beh_last_fees_noticed,checkbox,
both,Why did you use that app for that order? Select up to 3.,dec_last_reasons,checkbox,
hyd,Are most of your delivery orders on weekdays or weekends?,beh_weekday_weekend,single,
hyd,For which meals do you usually order delivery? Select all that apply.,beh_meal_occasions,checkbox,
both,Which apps or channels have you ordered food delivery from in the last 4 weeks? Select all that apply.,beh_platforms_used_4wk,checkbox,
both,Which one do you use most?,beh_platform_primary,single,
both,Which food-delivery memberships do you have right now? Select all that apply.,beh_subscriptions,checkbox,
both,"Think about your last 10 delivery orders. Roughly how many used a coupon, offer or membership discount?",beh_offer_dependency,single,
both,"How much do you agree: ""I usually open the same app and order, without checking other apps.""",dec_habit_lock,single,
both,"In the last 4 weeks, how often did you compare the price of the same order on two or more apps?",beh_compare_freq,single,
both,"In the last 12 months, did you change which app you use most for food delivery?",beh_switched_primary_12m,single,
both,What made you change? What happened?,beh_switch_reason,text,
both,In a sentence or two: what is the most annoying thing about ordering food delivery for you right now?,pain_unaided_frustration,text,
both,"In the last 4 weeks, how often did each of these happen to you? [The charges added at checkout (fees, packaging, etc.) made me reconsider or change my order]",pain_fee_reconsider_freq,single,
both,"In the last 4 weeks, how often did each of these happen to you? [The final amount felt unreasonable for the food I ordered]",pain_bill_unreasonable_freq,single,
both,"In the last 4 weeks, how often did each of these happen to you? [I left without placing an order after seeing the final amount]",beh_abandon_price_freq,single,
both,"In the last 4 weeks, how often did each of these happen to you? [My order arrived noticeably later than the time shown]",pain_late_freq,single,
both,"In the last 4 weeks, how often did each of these happen to you? [My order was cancelled by the app or the restaurant]",pain_cancel_freq,single,
both,"In the last 4 weeks, how often did each of these happen to you? [To show you are reading carefully, please select ""Rarely"" for this row]",att_check_1,single,
both,"In the last 4 weeks, how often did each of these happen to you? [Items were missing or wrong]",pain_wrong_item_freq,single,
both,"In the last 4 weeks, how often did each of these happen to you? [A restaurant I wanted was closed, unavailable or not listed]",pain_restaurant_unavailable_freq,single,
both,"In the last 4 weeks, how often did each of these happen to you? [There was a problem with food quality or hygiene]",pain_quality_freq,single,
both,"How much do you agree: ""Menu prices on delivery apps are usually higher than the price at the restaurant itself.""",pain_menu_markup_belief,single,
both,Which of these frustrate you most about food delivery today? Select up to 3.,pain_top_frustrations,checkbox,
both,"In the last 3 months, did any of these happen to you? Select all that apply.",pain_incidents_3m,checkbox,
both,How was your most recent refund request resolved?,pain_refund_outcome,single,
both,"For a weekday LUNCH order, what is the longest delivery time you would normally accept before choosing something else?",exp_eta_max_lunch,single,
both,"For a weekday DINNER order, what is the longest delivery time you would normally accept before choosing something else?",exp_eta_max_dinner,single,
both,"Out of 10 orders on an app, how many arriving 15+ minutes late would make you stop using that app?",exp_late_tolerance,single,
both,"Before trying a new food-delivery app, how many of your usual restaurants would need to be on it?",exp_fav_restaurant_needed,single,
both,Which kinds of restaurants would a new app need to have for you to use it? Select all that apply.,exp_restaurant_types_needed,checkbox,
both,"If a delivery order goes wrong, which is closest to what you expect?",exp_refund_expectation,single,
hyd,"How important is it that the delivery partner follows your delivery instructions (e.g. gate, hostel desk, calling first)?",exp_instructions_importance,single,
hyd,"How much do you agree: ""I worry about food quality or hygiene when a delivery option is cheaper than usual.""",exp_quality_concern_cheap,single,
both,"Think of a typical order of yours. How much lower would the final amount need to be, every time, for you to make a different app your main one?",beh_switch_savings_required,single,
both,[BILL s1 — paste exact question title],bill_s1,bill,"codes: Bill 1 / Bill 2 / No real difference to me (s1, s2 only)"
both,[BILL s2 — paste exact question title],bill_s2,bill,"codes: Bill 1 / Bill 2 / No real difference to me (s1, s2 only)"
hyd,[BILL s3 — paste exact question title],bill_s3,bill,"codes: Bill 1 / Bill 2 / No real difference to me (s1, s2 only)"
hyd,[BILL s4 — paste exact question title],bill_s4,bill,"codes: Bill 1 / Bill 2 / No real difference to me (s1, s2 only)"
hyd,[DCE t1 — paste exact question title of this version],dce_t1,dce,version-specific; Hyderabad only
hyd,[DCE t2 — paste exact question title of this version],dce_t2,dce,version-specific; Hyderabad only
hyd,[DCE t3 — paste exact question title of this version],dce_t3,dce,version-specific; Hyderabad only
hyd,[DCE t4 — paste exact question title of this version],dce_t4,dce,version-specific; Hyderabad only
hyd,[DCE t5 — paste exact question title of this version],dce_t5,dce,version-specific; Hyderabad only
hyd,[DCE t6 — paste exact question title of this version],dce_t6,dce,version-specific; Hyderabad only
hyd,[DCE dominance task — paste exact question title],dce_dom,dce,Hyderabad only
hyd,How appealing is this for your own food orders?,bt_appeal,single,
hyd,"If it were available where you are, how likely are you to try it for one of your next few orders?",bt_trial_intent,single,
hyd,How much would you trust it with your order and payment?,bt_trust,single,
hyd,How often would you expect orders from it to arrive on time?,bt_expected_reliability,single,
hyd,"Compared with the app you use most, what would you expect the final amount for the same order to be?",bt_expected_price,single,
hyd,"What, if anything, would stop you from trying it?",bt_concern,text,
hyd,Which of these messages would most make you take a look at a new food-delivery app?,bt_framing_pref,single,
both,[FEE LADDER ₹0 — paste exact question title],wtp_accept_0,wtp,one section per fee
both,[FEE LADDER ₹10 — paste exact question title],wtp_accept_10,wtp,one section per fee
both,[FEE LADDER ₹20 — paste exact question title],wtp_accept_20,wtp,one section per fee
both,[FEE LADDER ₹30 — paste exact question title],wtp_accept_30,wtp,one section per fee
both,[FEE LADDER ₹40 — paste exact question title],wtp_accept_40,wtp,one section per fee
