kpi_id,kpi_name,layer,driver,status,value,unit,numerator,denominator,base,formula,data_source,evidence_link,evidence_type,evidence_strength,why_good_indicator,limitation,what_would_upgrade_it,ci_lo,ci_hi,family_order,family,is_headline
NS,D30 Retained Order Rate,NORTH STAR,RETENTION,NOT COMPUTABLE,,orders/user/30d,,,Would be: Ownly first-time users in Gachibowli,D30 repeat rate (%) x average 30-day order frequency among retained users,Ownly transaction logs — not available to this study,01_secondary_research/challenger_failures/C_unit_economics_and_structure.md,COMPANY DATA REQUIRED,N/A,"It is the only metric that answers the actual question — does a cheaper first order become a habit. DoorDash reports the same construct publicly (cohort retention x frequency), and Rapido's own co-founder has said affordability is meant to drive repeat, frequency and retention rather than GOV. Awareness and trial are upstream proxies; this is the outcome.",Requires per-user transaction history. No survey question can substitute — stated intent is not behaviour.,"Ownly cohort export: first-order date, subsequent order dates, per user.",,,0,North Star — D30 Retained Order Rate,True
K1a,Price Win Rate — LIST+FEES,INPUT,PRICE,COMPUTED,100.0,%,4.0,4.0,4 matched restaurant x basket comparisons,baskets where Ownly final payable is lowest / all matched baskets,"Price audit, wed_dinner, DP1 Gachibowli, 2026-09-16",data/audit_pairs.csv,PRIMARY OBSERVED DATA,DIRECTIONAL (n=4),The structural position: what Ownly's price looks like before any incumbent benefit applies. This is the version Ownly controls.,"n=4 matched baskets, one slot, one address. Ownly on a new account with an intro offer; incumbents on subscribed accounts.","More restaurants, a second slot, and a membership-holding Ownly account.",,,2,2 · Recurring Price-Advantage Coverage,True
K1b,Price Win Rate — MEMBER,INPUT,PRICE,COMPUTED,75.0,%,3.0,4.0,4 matched restaurant x basket comparisons,baskets where Ownly final payable is lowest / all matched baskets,"Price audit, wed_dinner, DP1 Gachibowli, 2026-09-16",data/audit_pairs.csv,PRIMARY OBSERVED DATA,DIRECTIONAL (n=4),"What a Swiggy One or Zomato Gold holder actually sees. Since 82.5% of this catchment holds a membership, this is most people's real checkout.","n=4 matched baskets, one slot, one address. Ownly on a new account with an intro offer; incumbents on subscribed accounts.","More restaurants, a second slot, and a membership-holding Ownly account.",,,2,2 · Recurring Price-Advantage Coverage,False
K1c,Price Win Rate — AFTER OFFER,INPUT,PRICE,COMPUTED,50.0,%,2.0,4.0,4 matched restaurant x basket comparisons,baskets where Ownly final payable is lowest / all matched baskets,"Price audit, wed_dinner, DP1 Gachibowli, 2026-09-16",data/audit_pairs.csv,PRIMARY OBSERVED DATA,DIRECTIONAL (n=4),What happens when a coupon lands. This is the version that decides whether the price advantage survives a competitive response.,"n=4 matched baskets, one slot, one address. Ownly on a new account with an intro offer; incumbents on subscribed accounts.","More restaurants, a second slot, and a membership-holding Ownly account.",,,2,2 · Recurring Price-Advantage Coverage,False
K2,Median Basket Saving (structural),INPUT,PRICE,COMPUTED,114.5,INR,,4.0,4 matched baskets,"median(cheapest incumbent final payable - Ownly final payable), list+fees view",Price audit,data/audit_pairs.csv,PRIMARY OBSERVED DATA,DIRECTIONAL (n=4),"Converts the price claim into rupees, which is the unit the switching-threshold question is also measured in — so the two can be compared directly.",Before any incumbent coupon or membership benefit.,Expanded matched-basket audit.,,,2,2 · Recurring Price-Advantage Coverage,False
K3,Fee Load — non-food share of bill,INPUT,PRICE,COMPUTED,5.2,%,,8.0,Ownly priced captures,(packaging+platform+delivery+small cart+surge+GST) / final payable,Price audit,data/audit_clean.csv,PRIMARY OBSERVED DATA,MODERATE,"The one advantage Ownly controls outright. Unlike a discount it survives without subsidy, so it is the durable half of the price story. Incumbent median is 23.4%.",Median across priced captures; excludes menu-price differences.,Capture across dayparts to confirm no surge is applied at peak.,,,2,2 · Recurring Price-Advantage Coverage,False
K13,Required Recurring Saving to Switch (median),INPUT,LOCK-IN,COMPUTED,30.0,INR,,33.0,"Catchment respondents naming a rupee figure (n=33); 4 said no amount, 3 don't know",median of stated recurring saving needed to change main app,Survey,data/cleaned_survey.csv,SURVEY — STATED PREFERENCE,MODERATE,"Defines the bar Ownly's price advantage has to clear. Paired with the observed saving it becomes Switch-Threshold Coverage (MM3), which is the most decision-relevant metric here.","Stated threshold, not observed switching. 'No amount' and 'don't know' are held out of the median and reported separately rather than coded as zero or infinity.",Behavioural test: vary the discount and observe actual switching.,,,3,3 · Required Recurring Saving to Switch,True
K4,Audit-frame Restaurant Coverage,INPUT,ASSORTMENT,COMPUTED,90.0,%,9.0,10.0,"10-restaurant audit frame, usable slots only",restaurants listed on Ownly / restaurants in the audit frame,"Price audit (thu_lunch pass excluded, rule R4)",data/audit_coverage.csv,PRIMARY OBSERVED DATA,DIRECTIONAL (frame of 10),"Assortment is the attribute respondents refused to trade for money, so coverage is the constraint most likely to cap adoption.","This is AUDIT-FRAME coverage, NOT Gachibowli market coverage. The frame was built from Ownly's own showcase page plus incumbent chains, so it selects for restaurants present everywhere and cannot detect exclusives.","A long-tail pass: 25-30 restaurants sampled from Ownly's own 221-item list, checked on Swiggy and Zomato.",,,4,4 · Preferred-Restaurant Coverage,True
K5,Cross-platform Assortment Overlap,INPUT,ASSORTMENT,COMPUTED,88.9,%,8.0,9.0,Restaurants listed on Ownly,restaurants on Ownly AND >=1 incumbent / restaurants on Ownly,Price audit,data/audit_coverage.csv,PRIMARY OBSERVED DATA,DIRECTIONAL,"Directly tests the 'no new use case' risk that killed earlier challengers: if the catalogue is the same, price is the only differentiator left.",Frame of 10. 1 Ownly-only and 1 missing-from-Ownly observed.,Long-tail coverage pass.,,,4,4 · Preferred-Restaurant Coverage,False
K6,Preferred-Restaurant Coverage,INPUT,ASSORTMENT,NOT COMPUTABLE,,%,,,Would be: respondents' own most-ordered restaurants,respondents' top/last-used restaurants available on Ownly / their top restaurants,Survey does not capture named restaurants,data/cleaned_survey.csv,INSTRUMENT GAP,N/A,"Generic coverage counts restaurants; this counts the ones a person actually uses. Because 61.8% will not trade their usual restaurants for ₹30, this is the version of coverage that predicts behaviour.",The live instrument never asks respondents to name their usual restaurants.,"Add one question: 'name the 3 places you order from most', then check each on Ownly.",,,4,4 · Preferred-Restaurant Coverage,False
