Month,Event,Actor,Detail,Evidence grade,Source
2025-08,Ownly pilot begins,Ownly,"Pilot in Koramangala, HSR Layout, BTM Layout (Bengaluru)",MEDIA REPORT,"TechCrunch, 13 Aug 2025"
2025-08,Standalone Ownly app launched,Ownly,App goes live,MEDIA REPORT,Business Standard
2026-03,Citywide Bengaluru launch,Ownly,"Zero commission, flat Rs30 delivery fee, ~20,000 restaurant partners, no subscription or ad fees",MEDIA REPORT,"MediaNama, 5 Mar 2026"
2026-07,"1,000+ restaurants threaten to delist",Restaurants,Bengaluru hotel and restaurant owners threaten to leave Swiggy and Zomato from 15 Aug if demands unmet in writing,MEDIA REPORT,"Business Today, 29 Jul 2026"
2026-07,Press notes the opening for Ownly,Media,'Bengaluru restaurants push back gives Rapido's Ownly an opening against Swiggy Zomato',MEDIA REPORT,"Inc42, 30 Jul 2026"
2026-07,Ownly goes live inside the main Rapido app,Ownly,"'No platform fees, 20,000 restaurants'",MEDIA REPORT,"Business Today, 28 Jul 2026"
2026-07,"40,000+ daily orders, ~7% Bengaluru share",Ownly,Scale milestone,MEDIA REPORT,Storyboard18
2026-08,"21,000 Karnataka restaurants expected to join",Restaurants,Boycott expected to extend statewide,MEDIA REPORT,Storyboard18
2026-08,Ownly signs MoU with NRAI,Ownly,National Restaurant Association of India; Ownly is Industry Partner for the NRAI Food Delivery Summit 2026,MEDIA REPORT,"mediabrief / FM Live, Aug 2026"
2026-08,Boycott deadline extended to 1 Sep,Restaurants,Breakthrough in talks involving NRAI,MEDIA REPORT,News18
2026-08,"50,000+ daily orders, ~10% Bengaluru share",Ownly,Prices ~15% lower than Swiggy/Zomato,MEDIA REPORT,"Storyboard18, 21 Aug 2026"
2026-09,Outcome of the boycott,Restaurants,"UNKNOWN - no reporting found confirming whether it executed, was called off, or what was agreed",NOT FOUND,"12+ searches, none returned a result"
